Company,"PNP ID","Approved On Date"
"21ST CENTURY ENTERTAINMENT",BUT,2002-04-25
"2-Tel B.V",TTL,1999-03-20
"3Com Corporation",TCM,1996-11-29
"3D Perception",TDP,2002-05-16
3M,VSD,1998-10-16
"3NOD Digital Technology Co. Ltd.",NOD,2014-12-11
"A D S Exports",NGS,1998-07-16
"A Plus Info Corporation",API,1996-11-29
"A&R Cambridge Ltd.",ACG,2007-06-13
"A/Vaux Electronics",AVX,2012-08-29
"A+V Link",APV,2010-01-27
"Aashima Technology B.V.",TRU,1998-05-08
"Aava Mobile Oy",AAM,2013-08-13
"ABBAHOME INC.",ABA,1999-11-08
"Abeam Tech Ltd.",MEG,1996-11-29
"Ably-Tech Corporation",ATC,1996-11-29
"AboCom System Inc.",ABC,1997-03-28
"ACC Microelectronics",WTC,1996-11-29
"Access Works Comm Inc",AWC,1996-11-29
"Acco UK Ltd.",PKA,2003-05-12
"Accton Technology Corporation",ACC,1996-11-29
Acculogic,ACU,1996-11-29
"AccuScene Corporation Ltd",ASL,2007-06-13
"Ace CAD Enterprise Company Ltd",ANT,1996-11-29
"Acer Inc",CHE,1996-11-29
"Acer Labs",ALI,1996-11-29
"Acer Netxus Inc",ANX,1996-11-29
"Acer Technologies",ACR,1996-11-29
Acksys,ACK,1996-11-29
"Acnhor Datacomm",ADC,1996-11-29
Acon,CAL,1996-11-29
"Acrolink Inc",ALK,1997-03-12
"Acroloop Motion Control Systems Inc",ACM,1998-03-26
"ACT Labs Ltd",LAB,1997-09-02
"Actek Engineering Pty Ltd",ACE,1996-11-29
"Actiontec Electric Inc",AEI,1996-11-29
"ActivCard S.A",ACV,1998-05-08
"Aculab Ltd",ACB,1996-11-29
"Acutec Ltd.",ALM,1999-11-08
"AD electronics",GLE,2000-04-19
"Ad Lib MultiMedia Inc",ADM,1998-04-23
"Adaptec Inc",ADP,1996-11-29
"Adax Inc",ADX,1996-11-29
ADC-Centre,RSH,1999-11-08
"Add Value Enterpises (Asia) Pte Ltd",AVE,1999-01-10
"Addi-Data GmbH",ADA,1996-11-29
"ADI Systems Inc",ADI,1996-11-29
"ADPM Synthesis sas",DPM,2000-08-10
"Adrienne Electronics Corporation",AXB,1997-10-07
Adtek,ADT,1996-11-29
"Adtek System Science Company Ltd",ADK,1996-11-29
"ADTI Media, Inc",FLE,2009-09-15
"Adtran Inc",AND,1996-11-29
"Advan Int'l Corporation",AGM,1998-05-26
"Advance Computer Corporation",AVN,2010-06-10
"Advanced Digital Systems",MSM,1996-11-29
"Advanced Electronic Designs, Inc.",AED,2004-07-12
"Advanced Engineering",RJS,1998-06-25
"Advanced Gravis",GRV,1996-11-29
"Advanced Integ. Research Inc",AIR,1996-11-29
"Advanced Logic",ALR,1996-11-29
"Advanced Micro Devices Inc",ADV,1996-11-29
"Advanced Micro Peripherals Ltd",EVE,2011-11-18
"Advanced Optics Electronics, Inc.",AOE,2004-04-20
"Advanced Peripheral Devices Inc",ADD,1996-11-29
"Advanced Research Technology",ABV,1997-01-16
"Advanced Signal Processing Technologies",PSA,1999-09-13
"Advantech Co., Ltd.",AHC,2007-06-13
"Aerodata Holdings Ltd",ADH,1997-11-11
"Aetas Peripheral International",AEP,1999-11-08
"Aethra Telecomunicazioni S.r.l.",AET,1996-12-13
"Agentur Chairos",CHS,2001-03-15
"Agilent Technologies",AGT,2001-10-08
"Ahead Systems",ASI,1996-11-29
"AIMS Lab Inc",AIM,1998-03-13
